Sample ID,Species (CV),Species NCBI Taxonomy ID,Donor id,Genotype,Modality  (CV),Technique  (CV),CORRECTED Anatomical Structure,Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Project (CV),R24 Name (CV),R24 link,Comments,Metadata Submission,Wrangler Notes,Prior Project,Prior Anatomical Structure (CV)
SW190115-04B,mouse,NCBI:txid10090,SW190115-04B,wt/wt,connectivity,retrograde tracing,PSV;V;PBmm;LDT;,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2020Q1,merged projects,dong_retro_quad,
SW190117-01A,mouse,NCBI:txid10090,SW190117-01A,wt/wt,connectivity,retrograde tracing,POR;V;VII;PSV,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2020Q1,merged projects,dong_retro_quad,
SW190205-02A,mouse,NCBI:txid10090,SW190205-02A,wt/wt,connectivity,retrograde tracing,PRNc;fail;LAV;SUV;GRN,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2020Q1,merged projects,dong_retro_quad,
SW190207-03A,mouse,NCBI:txid10090,SW190207-03A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q4,merged projects,dong_retro_quad,
SW190207-04A,mouse,NCBI:txid10090,SW190207-04A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,
SW190328-01A,mouse,NCBI:txid10090,SW190328-01A,wt/wt,connectivity,retrograde tracing,RSPv;MM;AV;VAL;RE;VM,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2020Q1,merged projects,dong_retro_quad,
SW190328-04A,mouse,NCBI:txid10090,SW190328-04A,wt/wt,connectivity,retrograde tracing,VM:AV:PG:RSPv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,VM:AV:PG:RSPv
SW190423-09A,mouse,NCBI:txid10090,SW190423-09A,wt/wt,connectivity,retrograde tracing,MOs;MOp:MOp;MOsSSp-bfd;SSs,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,MOs/MOp:MOp/MOs:SSp-bfd/SSs
SW190426-01A,mouse,NCBI:txid10090,SW190426-01A,wt/wt,connectivity,retrograde tracing,fail:SSp-ul:fail:AUDv,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q4,merged projects,dong_retro_quad,fail:SSp-ul:fail:AUDv
SW190426-02A,mouse,NCBI:txid10090,SW190426-02A,wt/wt,connectivity,retrograde tracing,MOs:MOs;MOp:SSp-ul:SSp-bfd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,MOs:MOs/MOp:SSp-ul:SSp-bfd
SW190430-01A,mouse,NCBI:txid10090,SW190430-01A,wt/wt,connectivity,retrograde tracing,VISam:VISal:fp:ACAd,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,VISam:VISal:fp:ACAd
SW190430-02A,mouse,NCBI:txid10090,SW190430-02A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,
SW190502-07A,mouse,NCBI:txid10090,SW190502-07A,wt/wt,connectivity,retrograde tracing,fail;LS;CP;FS,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2020Q1,merged projects,dong_retro_quad,
SW190502-08A,mouse,NCBI:txid10090,SW190502-08A,wt/wt,connectivity,retrograde tracing,PTLp;PTLp;COApl,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2020Q1,merged projects,dong_retro_quad,
SW190502-09A,mouse,NCBI:txid10090,SW190502-09A,wt/wt,connectivity,retrograde tracing,,brains,1,University of Southern California,Hong-Wei Dong,1U01MH114829-01,dong_retro,BIL,http://download.brainimagelibrary.org/biccn/dong/retrograde/quad/,,2019Q3,merged projects,dong_retro_quad,
